id,ref,pred,wer,len,weighted_wer,duration
U_0232bd046f3fe77a,raisins,raisins,0.0,1,0.0,1.347
U_0236159163b8acb2,very friendly,very funny,0.5,2,1.0,0.998
U_023a0e5e2f177b23,grapes,grapes,0.0,1,0.0,1.433
U_023b4bdbce0b3ab1,scarf,scar,1.0,1,1.0,0.897
U_024373e2f82ca7f4,fair,fear,1.0,1,1.0,1.34
U_0248f5874ec98721,they would probably be sailing to another country,i would probably be sailing to another country,0.125,8,1.0,3.13
U_024d455ca12f4698,ladder,ladder,0.0,1,0.0,1.099
U_0253b2d8ea01bf67,the chicky,a chicken,1.0,2,2.0,1.663
U_025453bc23f5fdc0,share,share,0.0,1,0.0,0.8
U_025b50a58ecce6aa,two yack,two yock,0.5,2,1.0,0.557
U_02640b3e8b3c1c4f,painting,painting,0.0,1,0.0,3.5
U_0265189f6c32c119,that's a b,not a b,0.5,3,1.5,1.585
U_026605dc70b17dad,o,o,0.0,1,0.0,1.393
U_0266ec756f217a20,yes,yes,0.0,1,0.0,0.863
U_026d38ffd1699bbb,deer,deer,0.0,1,0.0,0.613
U_0287fe2370761f29,drum,drum,0.0,1,0.0,0.74
U_0293d6dc6220809d,scrape,scrape,0.0,1,0.0,1.307
U_02a26537f5d06512,and an eagle they were best friends,and and the eagle they were best friends,0.2857142857142857,7,2.0,3.953
U_02a43103a836e694,mother,mother,0.0,1,0.0,0.844
U_02aa407d43ce184a,ray,ray,0.0,1,0.0,1.256
U_02b06de8068fd164,two lights,two lights,0.0,2,0.0,1.623
U_02b406891cf04f66,well no that's because um somebody made her into a cat,well no that's because um somebody made her into a cat,0.0,11,0.0,5.713
U_02bb6162ce4145b6,beard,beard,0.0,1,0.0,1.382
U_02bb9dbe64900484,the dog got very angry,the dog got very angry,0.0,5,0.0,2.204
U_02be238212c912b9,i see lots of erh radishes,i see lots of radishes,0.1666666666666666,6,1.0,2.996
U_02c5d36f87ce21ab,richest,richest,0.0,1,0.0,1.648
U_02c732f4a9d78cb9,feet sheep bee beep beep,feet sheep bee beep beep,0.0,5,0.0,5.34
U_02c7720579370969,leaf,leaf,0.0,1,0.0,1.175
U_02c9d4e4e5a533ee,raft,raft,0.0,1,0.0,1.059
U_02cae9480a4d8be7,door,door,0.0,1,0.0,1.251
U_02d2cad566434e42,weird,weird,0.0,1,0.0,0.913
U_02d6d5c4c681e246,here ty give me the ball back and i'll take you take it to the park,here ty give me the ball back and i'll take you take it to the park,0.0,16,0.0,6.905
U_02e1310ed009e3ed,buy bobby a puppy,buy bobby a puppy,0.0,4,0.0,1.619
U_02e1ae93d20a39f1,skack,skack,0.0,1,0.0,0.972
U_02e3f29a952f1c98,row,roh,1.0,1,1.0,0.986
U_02e68b2152877bfa,because you get to add and not add and take away,and take away,0.7272727272727273,11,8.0,4.756
U_02e6c3960697b75d,so this is um,so this is um,0.0,4,0.0,1.539
U_02ef83e105985315,or putting a a hoody on,or putting a hoodie on,0.3333333333333333,6,2.0,2.004
U_02f6158f0d289f77,and us have a big one,and i saw a big one,0.3333333333333333,6,2.0,1.74
U_030602cf28c5444c,run,run,0.0,1,0.0,0.806
U_03060d8b313e2f2a,quack,quack,0.0,1,0.0,1.712
U_031193bb21d34724,grow,grow,0.0,1,0.0,0.798
U_03121f3d66c0b95b,you just put fro,you just put froth,0.25,4,1.0,1.615
U_03151614870b19a7,tiger,tiger,0.0,1,0.0,0.57
U_0321e9ea48723254,ninety,ninety,0.0,1,0.0,1.754
U_03231bec97fd9d6c,wrap,wrap,0.0,1,0.0,0.84
U_0328bb8db81a2e18,he's i know how to tie,i know how to tie,0.2857142857142857,6,1.7142857142857142,3.819
U_0332f006bb234c32,garage,fridge,1.0,1,1.0,0.829
U_0334a016c7d7fb4a,yes,yes,0.0,1,0.0,0.693
U_0343fdc8b455d3c6,scarf,scarf,0.0,1,0.0,0.798
U_03440091df0157bb,thirteen,thirteen,0.0,1,0.0,3.357
U_034607fb1e6f754d,pites,pites,0.0,1,0.0,0.839
U_03463abec067afce,raw,raw,0.0,1,0.0,0.773
U_03472d49db856d2d,done it lands on the grass,i'm throwing it on at the giraffe,1.0,6,6.0,2.35
U_034e6add92021481,i am so i,i am so i,0.0,4,0.0,2.974
U_035575789ecbced2,flossing,flossing,0.0,1,0.0,1.645
U_035d3fae08497926,two,two,0.0,1,0.0,0.698
U_035f0bc263205495,thank you,thank you,0.0,2,0.0,1.642
U_03650eafa4e3c175,one lamp,one lamp,0.0,2,0.0,1.195
U_036b17256412d0df,well we learned about them,well we learned about them,0.0,5,0.0,1.673
U_036fefbf5be1878c,train,train,0.0,1,0.0,1.368
U_03791711691b053b,juice,juice,0.0,1,0.0,0.67
U_037af3314b6cb0be,yes,yes,0.0,1,0.0,1.02
U_037d192701ea9a3f,beard,beard,0.0,1,0.0,0.677
U_03812fae09f2e062,and put a bandaid on it,and put a bandaid on it,0.0,6,0.0,1.695
U_0381c2422512f5e5,that could be a name,that could be a name,0.0,5,0.0,1.301
U_03887ebe46acb354,grandpa showed me how to do this part,grandpa showed me how to do this part,0.0,8,0.0,2.923
U_0388cf6e6ac166bf,i think that's it,i think that's it,0.0,4,0.0,1.69
U_038bfdef50fbb6e7,you can put sprinkles and frosting and,you can put sprinkles and frosting and,0.0,7,0.0,3.425
U_0391333d10197320,barn,barn,0.0,1,0.0,0.771
U_03937a58e2ae161e,fern,farm,1.0,1,1.0,1.667
U_039a137f4eb9a148,cheer,cheer,0.0,1,0.0,0.912
U_039fcf44c26d891f,rainbow,rainbow,0.0,1,0.0,1.797
U_03a16bf78c2b4cbc,they see zoom by and under a bush,they see zoom by and under a bush,0.0,8,0.0,3.394
U_03a9db31abb5a850,courts the courts were always full,courts the courts were always full,0.0,6,0.0,4.782
U_03ac7b020f4809bc,feeding the stuffed animal,feeding the stuffed animal,0.0,4,0.0,4.067
U_03b01208eda3fa2c,shrimp,shrimp,0.0,1,0.0,0.819
U_03bbd5464a9bee05,and i can see the dog,and i can see the dog,0.0,6,0.0,1.678
U_03c43680e10b39ea,yes,yes,0.0,1,0.0,0.609
U_03d0ed10200a4fce,and jewelry,and jewelry,0.0,2,0.0,1.037
U_03d6c2d8dab4d9f8,she gots it with the net she's trying to be careful trying not to lose it,she gots it with the net she's trying to be careful trying not to lose it,0.0,16,0.0,4.521
U_03d85387af26a288,purr,purr,0.0,1,0.0,0.652
U_03d99e49b1e3b537,uh and a bug,uh and a bug,0.0,4,0.0,2.603
U_03da71effd4f545c,and then there then he and he had a frog,and then there then he and he had a frog,0.0,10,0.0,5.671
U_03dc58627037ab19,yes,yes,0.0,1,0.0,0.811
U_03e5e870611ebccd,and she stared at the airplane and the donkey kind of put his tongue on the side of him,and she stared at the airplane and the donkey kind of put his tongue on the side of him,0.1052631578947368,19,2.0,6.418
U_03f2cac2fcb5b52c,drinking,drinking,0.0,1,0.0,1.898
U_03fb58c5cfd2dda8,b boy bath,b boy bath,0.0,3,0.0,4.909
U_040f0e02e8a34012,there,there,0.0,1,0.0,0.641
U_041657b0f590f668,um they're brushing their teeth,um they're brushing their teeth,0.0,5,0.0,5.828
U_041716d999649cc7,okay,okay,0.0,1,0.0,0.689
U_041a38bc5bcb76e3,triangle,triangle,0.0,1,0.0,1.13
U_041fd243d94e937a,you say it's broken,i say it's broken,0.2,4,0.8,1.84
U_04289f025cbe5013,tape,two,1.0,1,1.0,1.016
U_042ac338ebc5b730,chair,chair,0.0,1,0.0,1.122
U_042ce62e0941f6f9,pretending that he is a tut tut airplane driver,pret pretending that he is a airplane driver,0.3333333333333333,9,3.0,6.148
U_04322f1ac648ff8a,you were away,you were away,0.0,3,0.0,1.641
U_043dff778a218e66,wrong,wrong,0.0,1,0.0,0.698
U_0441058f7cecdaab,race,race,0.0,1,0.0,0.864
U_044eb5f0bba4fece,now i just know,a lot of them no,1.25,4,5.0,2.08
U_045ae76558d3d38e,candy,candy,0.0,1,0.0,1.577
U_0460a8b6d8f04ef0,some kind of girl,some kind of girl,0.0,4,0.0,1.588
U_046204ced0581d52,beard,beard,0.0,1,0.0,0.78
U_046b1dbd4d4a3ed9,one,one,0.0,1,0.0,0.766
U_04702f8116c2bf2e,they rode ten minutes,they rode ten minutes,0.0,4,0.0,1.921
U_0477dff6c4be435e,tess was eight years old,tess was eight years old,0.0,5,0.0,3.485
U_047963c6861a45ed,rock,rock,0.0,1,0.0,1.086
U_0480fe9018a127d0,mother,mother,0.0,1,0.0,0.635
U_0487163caa754f3d,dirt,dirt,0.0,1,0.0,0.799
U_048ba7bab3f5547f,open the toothpaste,open the toothpaste,0.0,3,0.0,0.986
U_048d4676fb3d64a1,um i like making a goal whenever i play soccer,um i like making a goal whenever i play soccer,0.0,10,0.0,6.405
U_048e94f261b9f2ff,frog,frog,0.0,1,0.0,1.663
U_049381091bed5008,the donkey says that's my airplane not yours,the donkey says that's my airplane not yours,0.0,8,0.0,4.042
U_049c89a6f0dc3bbb,dark,dark,0.0,1,0.0,0.964
U_04a22b7bbc40c16b,aa fish,and fish,0.5,2,1.0,1.638
U_04a9eb9d7167b7cc,i see books,and books,0.6666666666666666,3,2.0,0.662
U_04ae0d09a69a8728,run,run,0.0,1,0.0,1.172
U_04ae13ddc8efbe56,bar,bar,0.0,1,0.0,0.942
U_04aeb4db9c8094d1,wait is that a horse or a goat,wait is that a horse or a goat,0.0,8,0.0,2.348
U_04ba6437051d0e04,a boy,a boy,0.0,2,0.0,1.779
U_04bd195c8b69ed25,ree,ree,0.0,1,0.0,1.023
U_04ce5acff5712c18,stir,stir,0.0,1,0.0,0.752
U_04d94d48d5386d1b,stars,stars,0.0,1,0.0,1.4
U_04da124fae488e1a,and then if you want to you can put like juice in your cup,and then if you went to you can put like juice in your cup,0.0714285714285714,14,1.0,5.476
U_04ddeff151228e59,uh sometimes i share magna tiles,uh sometimes i share magnatiles,0.4,6,2.4000000000000004,3.612
U_04ded5f5b7ab1c45,it has eight,it has a,0.3333333333333333,3,1.0,0.949
U_04e7e27f192a6f46,worm,worm,0.0,1,0.0,1.148
U_04e9dff83f8a03a6,it's plus,oh yes it's plus,0.6666666666666666,2,1.3333333333333333,1.557
U_04eaa7ff00b8eea9,and it was a talking lion,and it was a talking lion,0.0,6,0.0,2.651
U_04f7ba3d89d8d84f,you just kick the ball around until you get it into like the thingy,or you just kick the ball around until you get it into like the the thingy,0.1428571428571428,14,2.0,4.722
U_04fa867450c59185,toes,toes,0.0,1,0.0,1.234
U_050e8ba10d7c1ada,you put it in water,you put it in water,0.0,5,0.0,1.454
U_05119febc0e74b90,twentyfour,twentyfour,0.0,1,0.0,1.403
U_0512e9c0cd1ad22f,a boy who is bored,a boy who is bored,0.0,5,0.0,4.887
U_0518ce1ae1ae1ef7,puts salt in the water,put salt in the water,0.2,5,1.0,1.853
U_051f29b1df9182af,dark,dark,0.0,1,0.0,0.913
U_0525be870d22eea9,turn,turn,0.0,1,0.0,1.347
U_052763daed8bdfda,reach,reach,0.0,1,0.0,1.198
U_05319dc733ecf44d,ninety,ninety,0.0,1,0.0,1.534
U_05381f9abecba778,fire,fire,0.0,1,0.0,1.346
U_0544f63157b12e94,oh right,i'm right,1.0,2,2.0,1.59
U_0548270f3ff6be14,i have to go to the bathroom,i have to go to the bath,0.1428571428571428,7,1.0,3.02
U_054897c7580fbac2,i need to watch him for me said her mother,i need to watch him for me said her mother,0.0,10,0.0,3.984
U_05554d9b17af8066,and then they'll start pumping their legs,and then they'll start pumping their legs,0.0,7,0.0,2.746
U_05590ff6bf8a825d,yes,yes,0.0,1,0.0,0.886
U_056610d8be18254a,house,cash,1.0,1,1.0,1.005
U_056a42409c868254,and a desk with a lamp on it,and a desk with a lamp on it,0.0,8,0.0,7.797
U_0570a91ff97fda5b,and the the little bunny boy he's running to the nurse,and the the little bunny boy he's running to the nurse,0.0,11,0.0,5.333
U_05733dcd6a2f76e2,beard,beard,0.0,1,0.0,1.385
U_05808c5c2bae714c,they're frosting cupcakes,they're frosting cupcakes,0.0,3,0.0,6.276
U_058b7748985bd77a,drum,drum,0.0,1,0.0,1.131
U_058f770d35490629,fern,throne,1.0,1,1.0,1.252
U_05931fc8fdff396a,three,three,0.0,1,0.0,0.764
U_05a49caf5703ca1b,and put it over your head,you just grab your sweater and put it over your head,0.8333333333333334,6,5.0,3.573
U_05a769ca956484d7,no,no,0.0,1,0.0,0.732
U_05ab402a42eb8c77,one brib,one brib,0.0,2,0.0,1.409
U_05ae14664769b171,scrape,scrape,0.0,1,0.0,1.159
U_05aee1557cbaae26,a kell,a kell,0.0,2,0.0,1.269
U_05ca8d6aa955ffcf,stare,stare,0.0,1,0.0,0.776
U_05ce4cbaae7a4af8,rules,rules,0.0,1,0.0,1.133
U_05d319f43cf82a45,stir,stir,0.0,1,0.0,1.304
U_05d56a34fff0a01a,bunny looked in his pockets and he only kept his money at home,um well bunny looked in his pockets and he only kept his money at home,0.0769230769230769,13,1.0,4.886
U_05d7f93c9fe2066e,what,what,0.0,1,0.0,2.291
U_05d9e7c6817ab7b6,throwing,throwing,0.0,1,0.0,1.177
U_05da18cbcf5ca225,i don't know,i don't know,0.0,3,0.0,6.786
U_05e28d44e3df24b6,mhm,mhm,0.0,1,0.0,0.923
U_05e3e66f115735fb,scarf,scar,1.0,1,1.0,1.319
U_05e77f12b21fbf4f,stir,stir,0.0,1,0.0,1.296
U_05e7e6985b59626a,crab,crab,0.0,1,0.0,1.015
U_05f46caf2afcdf2d,zebra z,zebra z,0.0,2,0.0,2.67
U_05fd187d1ef6b0dd,it's not as big as that one,it's not as big as that one,0.0,7,0.0,1.942
U_05fec211e6e58467,it's going to be cold,it's going to be cold,0.0,5,0.0,4.272
U_05ff8c90dd33a0e9,trip,trip,0.0,1,0.0,0.885
U_060095eaa04f388b,d,d,0.0,1,0.0,2.694
U_06041ffdc23f4f9a,he's going to sleep and he doesn't know why his frog is coming out,he's going to sleep and he doesn't know why his frog is coming out,0.0,13,0.0,7.634
U_061c50338d96d4bf,erp,erp,0.0,1,0.0,0.785
U_061d4e95244f52ec,firemen have a gun like this one,lionman has a gun but why does this one,0.7142857142857143,7,5.0,2.96
U_0623b0c097908e66,a person getting drowned in the lava,a person getting dead in the lava,0.1428571428571428,7,1.0,2.901
U_0631c100236a85f4,unhunh,uh uh,1.0,1,1.0,0.683
U_06352a6a7d15f99b,rules,rules rules,1.0,1,1.0,0.854
U_063e6c6c31e49b63,and that serum's going to turn the octopus back to a dog,and that serum's going to turn the octopus back to a dog,0.0,11,0.0,5.239
U_063f7fde9696846d,ladder,ladder,0.0,1,0.0,1.231
U_0640074752d1f0a3,mhm,mhm,0.0,1,0.0,0.675
U_06450f534452c8d8,star,star,0.0,1,0.0,0.798
U_064adb54312a5860,door,door,0.0,1,0.0,0.62
U_064b20082f7660d7,one candle,one candle,0.0,2,0.0,1.313
U_06548372d7be199a,aw,ah,1.0,1,1.0,1.078
U_065636701c2caef7,fair,fair,0.0,1,0.0,1.551
U_0657d35a0db51f53,now she gots it,now she gots a knee,0.5,4,2.0,2.125
U_065c7515fd649c3c,dog talk walk hawk,dog talk walk hawk,0.0,4,0.0,3.17
U_06680f1f797e205b,three,three,0.0,1,0.0,1.375
U_06751363a75add9e,butter,butter,0.0,1,0.0,0.505
U_0675d09d9fcb776f,yes um,yes um,0.0,2,0.0,1.266
U_067b987194b8d080,dark,dark,0.0,1,0.0,0.646
U_0683e86d18f5c5ed,i think he's a person at um,i think he's a person that um,0.1428571428571428,7,1.0,6.886
U_068c1663805884c9,two foo,foo,0.5,2,1.0,0.828
U_068dae3a284ba986,then i put my shirt on,then i put my shirt on,0.0,6,0.0,1.306
U_069261c8d1d96f1e,uh a peanut butter sandwich,a peanut butter sandwich,0.0,5,0.0,1.35
U_06976a21aea09e30,butter,butter,0.0,1,0.0,0.515
U_069aaaaeccb87462,once i put it on my ipad,once i put it on my ipad,0.0,7,0.0,3.166
U_069acece97b76a54,well you have to climb up a ladder,well you have to climb up the ladder,0.125,8,1.0,1.908
U_069e0fdb2d457917,cheer,cheer,0.0,1,0.0,0.734
U_069ece5bc770a8c4,scare,scare,0.0,1,0.0,0.777
U_069ee61538b3652e,screw,screw,0.0,1,0.0,1.029
U_06a1cfeb20ab6f5e,sometimes a teacher at the preschool do,sometimes a teacher at the preschool dude,0.1428571428571428,7,1.0,2.259
U_06a80f445eaa419b,one yock,one yock,0.0,2,0.0,0.984
U_06b056d223ffe6af,s spider spike,s spider spike,0.0,3,0.0,9.484
U_06b2bc18f77709d7,stir,stir,0.0,1,0.0,0.866
U_06c95855a0022061,uhhuh,uhhuh,0.0,1,0.0,2.382
U_06ca31db3f661f03,stir,stir,0.0,1,0.0,1.17
U_06da8d191eb24298,t,t,0.0,1,0.0,1.184
U_06db5c8799c9cfa0,hm,me,1.0,1,1.0,1.432
U_06e3a9e393f7ce59,i don't know,i don't know,0.0,3,0.0,0.98
U_06ea3f7174eec01b,now these go in too but don't be sassy,now these go in too they're going to be sassy,0.4,9,3.6,4.302
U_06ec87af636e2f5f,bunny realized that the balloon was high up in the sky,bunny realized that the balloon was high up in the sky,0.0,11,0.0,5.073
U_06fbff2ee0f40b8f,and i'd pour it into the bowl,and i pour it into the bowl,0.125,7,0.875,1.583
U_06ff5c6080f9ac54,always comes to me john now,you always come to me john now,0.3333333333333333,6,2.0,2.091
U_0705e731cbdd86b0,mhm,hm,1.0,1,1.0,0.738
U_0713972595547a59,another person giving their person a lollipop,another person giving their person a lollipop,0.0,7,0.0,3.531
U_071432bb34a30b59,six,six,0.0,1,0.0,1.096
U_07145a09fcd6e865,scare,scare,0.0,1,0.0,1.278
U_0719a7ae3554f588,mm no,mm no,0.0,2,0.0,2.87
U_071d5f04fbf02f00,uh brownie has,a brownie house,1.0,3,3.0,2.004
U_0722bb375fd8edf1,raft,raft,0.0,1,0.0,1.22
U_072b36d4974d9371,scroll,scroll,0.0,1,0.0,1.257
U_072de438ddc5954f,grandpa slid the pie in the oven,grandpa slid the pie in the oven,0.0,7,0.0,5.751
U_07318281c28865fc,they went on the they're going to go on the diving board,and they went on the they we're going to go on the diving board,0.25,12,3.0,3.291
U_07384eb4650af5d6,fork,fork,0.0,1,0.0,1.421
U_07458a6076ed0710,and then he climbed up and find him,and then they climbed up and find him,0.125,8,1.0,3.882
U_074a8823e6621041,barn,barn,0.0,1,0.0,1.038
U_074f5d348f210a0a,and you swing back and forth,and you swing back and forth,0.0,6,0.0,4.469
U_0755b64775be924a,one hundred and twenty,one hundred and twenty,0.0,4,0.0,1.79
U_0765d1e302a10ef5,i see a lion,i see a lion,0.0,4,0.0,1.556
U_076a68306fb158c9,um sixty,um sixty,0.0,2,0.0,2.299
U_0772b3f0d6442e42,skack,skack,0.0,1,0.0,2.156
U_0775da3951892c43,apple,apple,0.0,1,0.0,0.702
U_077a7896cac46c30,rake,rake,0.0,1,0.0,0.574
U_077a7cda3bc4d9de,can i can i i can make you a sweet potato pie grandpa told me,i can make you a sweet potato pie grandpa told me,0.2666666666666666,15,4.0,7.394
U_077dbe02e7dc79f9,o'clock,a croak,1.0,1,1.0,3.652
U_078751c3b899a5ae,because she has a lab coat,because she has a lab coat,0.0,6,0.0,2.341
U_078b8cc51f9c8ed5,and there's fish in there the water,there's fish in the water,0.25,7,1.75,3.383
U_0790bcb473baba92,chair,chair,0.0,1,0.0,1.027
U_07a7940e88d56d61,oh,oh,0.0,1,0.0,0.521
U_07af776c2acde120,nurse,nurse,0.0,1,0.0,1.062
U_07b2084825dfd138,and she has a octopus,and he's an octopus,0.6,5,3.0,2.324
U_07b25edd3edcf542,straw,straw,0.0,1,0.0,0.885
U_07bee3c55a863cea,m mom,and mom,0.5,2,1.0,3.991
U_07c9ee4729547111,sixty,sixty,0.0,1,0.0,1.028
U_07d07e144a87dd65,you just climb up the ladder,you just climb up the water,0.1666666666666666,6,1.0,1.377
U_07d401f3d64b7cca,vegetable,vegetable,0.0,1,0.0,1.674
U_07d4aedc171bbb7e,reach,reach,0.0,1,0.0,0.821
U_07dca1ada56541cd,by july the garden was looking great,by july the garden was looking great,0.0,7,0.0,2.871
U_07e1bef3c9551a50,car,car,0.0,1,0.0,0.777
U_07e78d68323f3ea5,i don't really know how to tie my shoes,i don't really know how to tie my shoes,0.0,9,0.0,2.629
U_07e7c6eece34f833,run,run,0.0,1,0.0,1.254
U_07e9b079f7304aea,rug,rug,0.0,1,0.0,0.618
U_07ecb3b8374248ef,rose,rose,0.0,1,0.0,0.785
U_07ef8509d0b4c55c,baby sheep,can you see,1.5,2,3.0,1.087
U_07f182f9658f0919,cool,cool,0.0,1,0.0,0.942
U_07f416209804b1c2,seven,seven,0.0,1,0.0,1.351
U_07f463ef0e6d6030,then she is walking to the diving stick thing where you jump off and she was walking to the diving stick,then she's walking to the diving stick thing where he had jump off and she was walking to the diving stick,0.0952380952380952,21,2.0,11.155
U_07f4eb7bfb1d70f6,you dry them off with a towel,you dry them off with a towel,0.0,7,0.0,3.458
U_07fa5dacda65ddc7,grill,grill,0.0,1,0.0,1.093
